alert_id,entity_id,source_system,timestamp,typology,risk_score_source,vendor_metadata,alert_risk_band,rule_name,detection_channel,typology_confidence,user_id,segment,country,direction,amount,sanctions_hit,high_risk_country,repeated_typology,behavioral_baseline_deviation,cross_border,n_hist,peer_segment_percentile
ALT71207,USR78155,Actimize,2026-03-01T20:45:53Z,dormant,73,"{'rule_name': 'AmountSpike', 'alert_age_days': 11, 'detection_channel': 'transaction_monitor'}",MEDIUM,AmountSpike,transaction_monitor,78.4,USR78155,private_banking,US,out,1117.41,False,False,False,0.0,False,9,0.9542885471807748
ALT16207,USR83973,Actimize,2026-02-16T14:34:53Z,smurfing,82,"{'rule_name': 'VelocityThreshold', 'alert_age_days': 5, 'detection_channel': 'network_analytics'}",LOW,VelocityThreshold,network_analytics,68.3,USR83973,smb,US,out,4156.95,False,False,False,0.0,False,0,0.5
ALT24702,USR43301,Oracle FCC,2026-02-20T13:42:53Z,sanctions,63,"{'rule_name': 'DormantReactivate', 'alert_age_days': 6, 'detection_channel': 'surveillance'}",MEDIUM,DormantReactivate,surveillance,63.7,USR43301,private_banking,US,out,3587.15,False,False,False,0.0,False,3,0.5
ALT60482,USR78605,Oracle FCC,2026-02-22T19:39:53Z,burst_activity,33,"{'rule_name': 'SanctionsScreening', 'alert_age_days': 2, 'detection_channel': 'network_analytics'}",LOW,SanctionsScreening,network_analytics,33.8,USR78605,smb,US,out,129.98,False,False,False,0.0,False,0,0.5
ALT67176,USR97068,NICE,2026-03-07T13:42:53Z,burst_activity,31,"{'rule_name': 'PEPMatch', 'alert_age_days': 13, 'detection_channel': 'transaction_monitor'}",LOW,PEPMatch,transaction_monitor,53.7,USR97068,retail,US,out,127.57,False,False,False,0.0,False,0,0.5
ALT12847,USR92675,Actimize,2026-03-04T05:06:53Z,cross_border,51,"{'rule_name': 'CrossBorderFlow', 'alert_age_days': 11, 'detection_channel': 'surveillance'}",HIGH,CrossBorderFlow,surveillance,88.8,USR92675,retail,AE,out,29578.32276387293,False,True,False,0.0,False,0,0.5
ALT51322,USR97561,SAS,2026-02-21T10:24:53Z,structuring,57,"{'rule_name': 'PEPMatch', 'alert_age_days': 8, 'detection_channel': 'network_analytics'}",LOW,PEPMatch,network_analytics,32.1,USR97561,corporate,US,out,224.89,False,False,False,0.0,False,0,0.5
ALT37126,USR69736,Actimize,2026-02-26T08:00:53Z,rapid_velocity,61,"{'rule_name': 'PEPMatch', 'alert_age_days': 8}",HIGH,PEPMatch,transaction_monitor,57.0,USR69736,retail,US,out,3404.58,False,False,False,2.6184082647832496,False,0,0.5
ALT50672,USR9213,Actimize,2026-02-12T19:50:53Z,high_amount_outlier,38,"{'rule_name': 'PEPMatch', 'alert_age_days': 0, 'detection_channel': 'network_analytics'}",HIGH,PEPMatch,network_analytics,94.3,USR9213,smb,US,out,18341.507418947975,False,False,False,0.0,False,0,0.5
ALT95883,USR44568,SAS,2026-03-02T21:18:53Z,cross_border,57,"{'rule_name': 'CrossBorderFlow', 'alert_age_days': 13, 'detection_channel': 'screening'}",MEDIUM,CrossBorderFlow,screening,33.5,USR44568,corporate,US,out,5703.16,False,False,False,0.0,False,7,0.8581630771061848
ALT8584,USR85858,FICO,2026-02-23T08:20:53Z,cross_border,42,"{'rule_name': 'SanctionsScreening', 'alert_age_days': 2}",LOW,SanctionsScreening,network_analytics,81.0,USR85858,smb,US,out,1987.69,False,False,False,0.0,False,0,0.5
ALT99549,USR82762,Actimize,2026-02-22T17:42:53Z,low_buyer_diversity,71,"{'rule_name': 'DormantReactivate', 'alert_age_days': 5, 'detection_channel': 'screening'}",LOW,DormantReactivate,screening,47.5,USR82762,retail,US,out,1499.63,False,False,False,0.0,False,0,0.5
ALT45507,USR6791,Oracle FCC,2026-03-01T17:52:53Z,sanctions,79,"{'rule_name': 'VelocityThreshold', 'alert_age_days': 4}",LOW,VelocityThreshold,network_analytics,88.9,USR6791,corporate,US,out,6631.56,False,False,False,0.0,False,0,0.5
ALT77437,USR65456,FICO,2026-02-25T17:51:53Z,smurfing,68,"{'rule_name': 'CrossBorderFlow', 'alert_age_days': 7}",MEDIUM,CrossBorderFlow,transaction_monitor,80.7,USR65456,corporate,US,out,2218.51,False,False,False,0.0,False,3,0.89219355565399
ALT43022,USR89311,SAS,2026-02-08T22:19:53Z,sanctions,20,"{'rule_name': 'PeerOutlier', 'alert_age_days': 11, 'detection_channel': 'screening'}",HIGH,PeerOutlier,screening,90.2,USR89311,corporate,US,out,29128.210893130334,True,False,False,0.0,False,0,0.5
ALT31784,USR82762,FICO,2026-02-15T09:37:53Z,dormant,94,"{'rule_name': 'StructPattern', 'alert_age_days': 3}",MEDIUM,StructPattern,screening,44.7,USR82762,private_banking,US,out,10103.93,False,False,False,0.0,False,0,0.5
